StartDate,FacilityLongName,numvisits,year,week,month,month.year
2009-03-31,Lions Gate Hospital,140,2009,13,03,03-09
2009-04-01,Lions Gate Hospital,119,2009,13,04,04-09
2009-04-02,Lions Gate Hospital,123,2009,13,04,04-09
2009-04-03,Lions Gate Hospital,131,2009,13,04,04-09
2009-04-04,Lions Gate Hospital,144,2009,13,04,04-09
2009-04-05,Lions Gate Hospital,141,2009,14,04,04-09
2009-04-06,Lions Gate Hospital,146,2009,14,04,04-09
2009-04-07,Lions Gate Hospital,119,2009,14,04,04-09
2009-04-08,Lions Gate Hospital,110,2009,14,04,04-09
2009-04-09,Lions Gate Hospital,117,2009,14,04,04-09
2009-04-10,Lions Gate Hospital,135,2009,14,04,04-09
2009-04-11,Lions Gate Hospital,140,2009,14,04,04-09
2009-04-12,Lions Gate Hospital,111,2009,15,04,04-09
2009-04-13,Lions Gate Hospital,139,2009,15,04,04-09
2009-04-14,Lions Gate Hospital,144,2009,15,04,04-09
2009-04-15,Lions Gate Hospital,120,2009,15,04,04-09
2009-04-16,Lions Gate Hospital,121,2009,15,04,04-09
2009-04-17,Lions Gate Hospital,141,2009,15,04,04-09
2009-04-18,Lions Gate Hospital,141,2009,15,04,04-09
2009-04-19,Lions Gate Hospital,127,2009,16,04,04-09
2009-04-20,Lions Gate Hospital,113,2009,16,04,04-09
2009-04-21,Lions Gate Hospital,120,2009,16,04,04-09
2009-04-22,Lions Gate Hospital,124,2009,16,04,04-09
2009-04-23,Lions Gate Hospital,105,2009,16,04,04-09
2009-04-24,Lions Gate Hospital,115,2009,16,04,04-09
2009-04-25,Lions Gate Hospital,135,2009,16,04,04-09
2009-04-26,Lions Gate Hospital,143,2009,17,04,04-09
2009-04-27,Lions Gate Hospital,134,2009,17,04,04-09
2009-04-28,Lions Gate Hospital,116,2009,17,04,04-09
2009-04-29,Lions Gate Hospital,122,2009,17,04,04-09
2009-04-30,Lions Gate Hospital,118,2009,17,04,04-09
2009-05-01,Lions Gate Hospital,131,2009,17,05,05-09
2009-05-02,Lions Gate Hospital,119,2009,17,05,05-09
2009-05-03,Lions Gate Hospital,128,2009,18,05,05-09
2009-05-04,Lions Gate Hospital,152,2009,18,05,05-09
2009-05-05,Lions Gate Hospital,110,2009,18,05,05-09
2009-05-06,Lions Gate Hospital,113,2009,18,05,05-09
2009-05-07,Lions Gate Hospital,112,2009,18,05,05-09
2009-05-08,Lions Gate Hospital,144,2009,18,05,05-09
2009-05-09,Lions Gate Hospital,124,2009,18,05,05-09
2009-05-10,Lions Gate Hospital,147,2009,19,05,05-09
2009-05-11,Lions Gate Hospital,117,2009,19,05,05-09
2009-05-12,Lions Gate Hospital,121,2009,19,05,05-09
2009-05-13,Lions Gate Hospital,130,2009,19,05,05-09
2009-05-14,Lions Gate Hospital,104,2009,19,05,05-09
2009-05-15,Lions Gate Hospital,127,2009,19,05,05-09
2009-05-16,Lions Gate Hospital,121,2009,19,05,05-09
2009-05-17,Lions Gate Hospital,115,2009,20,05,05-09
2009-05-18,Lions Gate Hospital,135,2009,20,05,05-09
2009-05-19,Lions Gate Hospital,143,2009,20,05,05-09
2009-05-20,Lions Gate Hospital,129,2009,20,05,05-09
2009-05-21,Lions Gate Hospital,118,2009,20,05,05-09
2009-05-22,Lions Gate Hospital,127,2009,20,05,05-09
2009-05-23,Lions Gate Hospital,141,2009,20,05,05-09
2009-05-24,Lions Gate Hospital,149,2009,21,05,05-09
2009-05-25,Lions Gate Hospital,161,2009,21,05,05-09
2009-05-26,Lions Gate Hospital,134,2009,21,05,05-09
2009-05-27,Lions Gate Hospital,138,2009,21,05,05-09
